University_link,University_Name,Location,T.H.E.R (2018),Top.U.R(2018),U.S. News & World Report.R(2018)
https://www.bachelorsportal.com/universities/11781/university-of-chicago.html,University of Chicago,"Chicago, United States",-,125,105
https://www.bachelorsportal.com/universities/11753/new-york-university.html,New York University,"New York City, United States",-,132,151
https://www.bachelorsportal.com/universities/39/university-of-amsterdam.html,University of Amsterdam,"Amsterdam, Netherlands",-,132,389
https://www.bachelorsportal.com/universities/25/university-of-copenhagen.html,University of Copenhagen,"Copenhagen, Denmark",-,132,-
https://www.bachelorsportal.com/universities/14120/university-kebangsaan-malaysia.html,University Kebangsaan Malaysia,"Semenyih, Malaysia",-,135,168
https://www.bachelorsportal.com/universities/164/kings-college-london.html,King's College London,"London, United Kingdom",-,137,333
https://www.bachelorsportal.com/universities/11973/chulalongkorn-university.html,Chulalongkorn University,"Bangkok, Thailand",-,147,346
https://www.bachelorsportal.com/universities/218/ludwig-maximilians-university-munich.html,Ludwig-Maximilians-University (LMU) Munich,"München, Germany",-,150,173
https://www.bachelorsportal.com/universities/44/humboldt-university-berlin.html,Humboldt University Berlin,"Berlin, Germany",-,155,-
https://www.bachelorsportal.com/universities/149/cranfield-university.html,Cranfield University,"Cranfield, United Kingdom",-,159,295
https://www.bachelorsportal.com/universities/12393/national-central-university.html,National Central University,"Taoyuan City, Taiwan",-,163,351
https://www.bachelorsportal.com/universities/721/mines-paristech.html,MINES ParisTech,"Paris, France",-,172,347
https://www.bachelorsportal.com/universities/410/grenoble-inp-graduate-schools-of-engineering-and-management-universit-grenoble-alpes.html,"Grenoble INP, Graduate schools of Engineering and Management Université Grenoble Alpes","Grenoble, France",-,177,133
https://www.bachelorsportal.com/universities/5/stockholm-university.html,Stockholm University,"Bergshamra, Sweden",-,188,-
https://www.bachelorsportal.com/universities/660/university-of-zurich.html,University of Zurich,"Zürich (Kreis 1), Switzerland",-,188,-
https://www.bachelorsportal.com/universities/13097/national-autonomous-university-of-mexico.html,National Autonomous University of Mexico,"Coyoacán, Mexico",-,192,323
https://www.bachelorsportal.com/universities/13938/university-of-north-carolina-chapel-hill.html,University of North Carolina Chapel Hill,"Chapel Hill, United States",-,196,359
https://www.bachelorsportal.com/universities/24/czech-technical-university.html,Czech Technical University (CTU),"Malá Strana, Czech Republic",-,201,295
https://www.bachelorsportal.com/universities/17/university-of-helsinki.html,University of Helsinki,"Helsinki, Finland",-,206,-
,"University of California, Irvine Extension","Irvine, United States",-,210,-
https://www.bachelorsportal.com/universities/332/university-of-naples-federico-ii.html,University of Naples Federico II,"Naples, Italy",-,214,139
https://www.bachelorsportal.com/universities/13908/institute-of-technology-bandung.html,Institute of Technology Bandung,"Bandung, Indonesia",-,215,-
https://www.bachelorsportal.com/universities/49/heidelberg-university.html,Heidelberg University,"Heidelberg, Germany",-,222,-
https://www.bachelorsportal.com/universities/42/autonomous-university-of-barcelona.html,Autonomous University of Barcelona,"Barcelona, Spain",-,224,240
https://www.bachelorsportal.com/universities/9841/king-abdullah-university-of-science-and-technology.html,King Abdullah University of Science and Technology (KAUST),"Thuwal, Saudi Arabia",-,227,142
https://www.bachelorsportal.com/universities/13134/university-of-chile.html,University of Chile,"Lo Prado, Chile",-,229,413
https://www.bachelorsportal.com/universities/11000/deakin-university.html,Deakin University,"Burwood, Australia",-,236,285
https://www.bachelorsportal.com/universities/17780/kyung-hee-university.html,Kyung Hee University,"Seoul, South Korea",-,236,325
,Telecom ParisTech,"Palaiseau, France",-,236,-
https://www.bachelorsportal.com/universities/1326/the-university-of-milan.html,The University of Milan,"Sesto San Giovanni, Italy",-,240,-
https://www.bachelorsportal.com/universities/13/university-of-oslo.html,University of Oslo,"Oslo, Norway",-,240,395
https://www.bachelorsportal.com/universities/536/braunschweig-university-of-technology.html,Braunschweig University of Technology,"Braunschweig, Germany",-,242,425
https://www.bachelorsportal.com/universities/154/durham-university.html,Durham University,"Durham, United Kingdom",-,242,370
